Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
90,tt0118694,2017-02-12,2017-02-12,,Faa yeung nin wa,https://www.imdb.com/title/tt0118694/,movie,8.1,98,2000,"Drama, Romance",109804,2000-05-20,Kar-Wai Wong
91,tt0203009,2017-02-12,2017-02-12,,Moulin Rouge!,https://www.imdb.com/title/tt0203009/,movie,7.6,127,2001,"Drama, Musical, Romance",255521,2001-05-09,Baz Luhrmann
92,tt0166924,2017-02-12,2017-02-12,,Mulholland Dr.,https://www.imdb.com/title/tt0166924/,movie,7.9,147,2001,"Drama, Mystery, Thriller",297278,2001-05-16,David Lynch
93,tt0265666,2017-02-12,2017-02-12,,The Royal Tenenbaums,https://www.imdb.com/title/tt0265666/,movie,7.6,110,2001,"Comedy, Drama",250317,2001-10-05,Wes Anderson
94,tt0246578,2017-02-12,2017-02-12,,Donnie Darko,https://www.imdb.com/title/tt0246578/,movie,8.0,113,2001,"Drama, Sci-Fi, Thriller",708996,2001-01-19,Richard Kelly
95,tt0266697,2017-02-12,2017-02-12,,Kill Bill: Vol. 1,https://www.imdb.com/title/tt0266697/,movie,8.1,111,2003,"Action, Crime, Thriller",932560,2003-09-29,Quentin Tarantino
96,tt0335266,2017-02-12,2017-02-12,,Lost in Translation,https://www.imdb.com/title/tt0335266/,movie,7.7,102,2003,Drama,382411,2003-08-29,Sofia Coppola
97,tt0307596,2017-02-12,2017-02-12,,"The Tulse Luper Suitcases, Part 1: The Moab Story",https://www.imdb.com/title/tt0307596/,movie,6.8,127,2003,"Adventure, Biography, Drama, Romance, Thriller, War",1040,2003-05-24,Peter Greenaway
98,tt0414993,2017-02-12,2017-02-12,,The Fountain,https://www.imdb.com/title/tt0414993/,movie,7.2,97,2006,"Drama, Mystery, Romance, Sci-Fi",219069,2006-09-04,Darren Aronofsky
99,tt0368794,2017-02-12,2017-02-12,,I'm Not There,https://www.imdb.com/title/tt0368794/,movie,6.9,135,2007,"Biography, Drama, Music, Western",54588,2007-09-03,Todd Haynes
100,tt2534660,2017-02-12,2017-02-12,,Risttuules,https://www.imdb.com/title/tt2534660/,movie,7.6,90,2014,"Drama, History",1312,2014-03-28,Martti Helde
