Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
53,tt0077416,2016-03-12,2016-03-12,,The Deer Hunter,https://www.imdb.com/title/tt0077416/,movie,8.1,183,1978,"Drama, War",290716,1978-12-08,Michael Cimino
54,tt0066026,2016-03-12,2016-03-12,,MASH,https://www.imdb.com/title/tt0066026/,movie,7.5,116,1970,"Comedy, Drama, War",64294,1970-01-25,Robert Altman
55,tt0053125,2016-03-12,2016-03-12,,North by Northwest,https://www.imdb.com/title/tt0053125/,movie,8.3,136,1959,"Adventure, Mystery, Thriller",278845,1959-07-01,Alfred Hitchcock
56,tt0073195,2016-03-12,2016-03-12,,Jaws,https://www.imdb.com/title/tt0073195/,movie,8.0,124,1975,"Adventure, Drama, Thriller",519549,1975-06-20,Steven Spielberg
57,tt0075148,2016-03-12,2016-03-12,,Rocky,https://www.imdb.com/title/tt0075148/,movie,8.1,120,1976,"Drama, Sport",484572,1976-11-20,John G. Avildsen
58,tt0015864,2016-03-12,2016-03-12,,The Gold Rush,https://www.imdb.com/title/tt0015864/,movie,8.2,95,1925,"Adventure, Comedy, Drama, Family",92008,1925-06-26,Charles Chaplin
59,tt0073440,2016-03-12,2016-03-12,,Nashville,https://www.imdb.com/title/tt0073440/,movie,7.7,160,1975,"Comedy, Drama, Music",21686,1975-06-11,Robert Altman
60,tt0023969,2016-03-12,2016-03-12,,Duck Soup,https://www.imdb.com/title/tt0023969/,movie,7.8,69,1933,"Comedy, Musical, War",53101,1933-11-12,Leo McCarey
61,tt0034240,2016-03-12,2016-03-12,,Sullivan's Travels,https://www.imdb.com/title/tt0034240/,movie,8.0,90,1941,"Adventure, Comedy, Drama, Romance",22262,1941-12-05,Preston Sturges
62,tt0069704,2016-03-12,2016-03-12,,American Graffiti,https://www.imdb.com/title/tt0069704/,movie,7.4,110,1973,"Comedy, Drama",76408,1973-08-01,George Lucas
63,tt0068327,2016-03-12,2016-03-12,,Cabaret,https://www.imdb.com/title/tt0068327/,movie,7.8,124,1972,"Drama, Musical",44896,1972-02-13,Bob Fosse
64,tt0074958,2016-03-12,2016-03-12,,Network,https://www.imdb.com/title/tt0074958/,movie,8.1,121,1976,Drama,135017,1976-11-14,Sidney Lumet
65,tt0043265,2016-03-12,2016-03-12,,The African Queen,https://www.imdb.com/title/tt0043265/,movie,7.7,105,1951,"Adventure, Drama, Romance, War",67680,1951-12-26,John Huston
66,tt0082971,2016-03-12,2016-03-12,,Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,movie,8.4,115,1981,"Action, Adventure",831019,1981-06-12,Steven Spielberg
67,tt0061184,2016-03-12,2016-03-12,,Who's Afraid of Virginia Woolf?,https://www.imdb.com/title/tt0061184/,movie,8.0,131,1966,Drama,65434,1966-06-21,Mike Nichols
68,tt0105695,2016-03-12,2016-03-12,,Unforgiven,https://www.imdb.com/title/tt0105695/,movie,8.2,130,1992,"Drama, Western",349661,1992-08-03,Clint Eastwood
69,tt0084805,2016-03-12,2016-03-12,,Tootsie,https://www.imdb.com/title/tt0084805/,movie,7.4,116,1982,"Comedy, Drama, Romance",91248,1982-12-01,Sydney Pollack
70,tt0066921,2016-03-12,2016-03-12,,A Clockwork Orange,https://www.imdb.com/title/tt0066921/,movie,8.3,136,1971,"Crime, Drama, Sci-Fi",707820,1971-12-19,Stanley Kubrick
71,tt0120815,2016-03-12,2016-03-12,,Saving Private Ryan,https://www.imdb.com/title/tt0120815/,movie,8.6,169,1998,"Drama, War",1144198,1998-07-21,Steven Spielberg
72,tt0111161,2016-03-12,2016-03-12,,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,movie,9.3,142,1994,Drama,2160540,1994-09-10,Frank Darabont
73,tt0064115,2016-03-12,2016-03-12,,Butch Cassidy and the Sundance Kid,https://www.imdb.com/title/tt0064115/,movie,8.0,110,1969,"Biography, Crime, Drama, Western",191327,1969-09-23,George Roy Hill
74,tt0102926,2016-03-12,2016-03-12,,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/,movie,8.6,118,1991,"Crime, Drama, Thriller",1170277,1991-01-30,Jonathan Demme
75,tt0061811,2016-03-12,2016-03-12,,In the Heat of the Night,https://www.imdb.com/title/tt0061811/,movie,8.0,110,1967,"Crime, Drama, Mystery, Thriller",62010,1967-08-02,Norman Jewison
76,tt0109830,2016-03-12,2016-03-12,,Forrest Gump,https://www.imdb.com/title/tt0109830/,movie,8.8,142,1994,"Drama, Romance",1663294,1994-06-23,Robert Zemeckis
77,tt0074119,2016-03-12,2016-03-12,,All the President's Men,https://www.imdb.com/title/tt0074119/,movie,8.0,138,1976,"Biography, Drama, History, Thriller",94924,1976-04-04,Alan J. Pakula
78,tt0027977,2016-03-12,2016-03-12,,Modern Times,https://www.imdb.com/title/tt0027977/,movie,8.5,87,1936,"Comedy, Drama, Family, Romance",198081,1936-02-05,Charles Chaplin
79,tt0065214,2016-03-12,2016-03-12,,The Wild Bunch,https://www.imdb.com/title/tt0065214/,movie,7.9,135,1969,"Action, Adventure, Western",73468,1969-05-01,Sam Peckinpah
80,tt0053604,2016-03-12,2016-03-12,,The Apartment,https://www.imdb.com/title/tt0053604/,movie,8.3,125,1960,"Comedy, Drama, Romance",149035,1960-06-15,Billy Wilder
81,tt0054331,2016-03-12,2016-03-12,,Spartacus,https://www.imdb.com/title/tt0054331/,movie,7.9,197,1960,"Adventure, Biography, Drama, History, War",115847,1960-10-06,Stanley Kubrick
82,tt0018455,2016-03-12,2016-03-12,,Sunrise: A Song of Two Humans,https://www.imdb.com/title/tt0018455/,movie,8.1,94,1927,"Drama, Romance",44330,1927-09-23,F.W. Murnau
83,tt0120338,2016-03-12,2016-03-12,,Titanic,https://www.imdb.com/title/tt0120338/,movie,7.8,194,1997,"Drama, Romance",981049,1997-11-01,James Cameron
84,tt0064276,2016-03-12,2016-03-12,,Easy Rider,https://www.imdb.com/title/tt0064276/,movie,7.3,95,1969,"Adventure, Drama",92624,1969-05-12,Dennis Hopper
85,tt0026778,2016-03-12,2016-03-12,,A Night at the Opera,https://www.imdb.com/title/tt0026778/,movie,7.9,96,1935,"Comedy, Music, Musical",29054,1935-11-01,"Sam Wood, Edmund Goulding"
86,tt0091763,2016-03-12,2016-03-12,,Platoon,https://www.imdb.com/title/tt0091763/,movie,8.1,120,1986,"Drama, War",358884,1986-12-19,Oliver Stone
87,tt0050083,2016-03-12,2016-03-12,,12 Angry Men,https://www.imdb.com/title/tt0050083/,movie,8.9,96,1957,Drama,617894,1957-04-10,Sidney Lumet
88,tt0029947,2016-03-12,2016-03-12,,Bringing Up Baby,https://www.imdb.com/title/tt0029947/,movie,7.9,102,1938,"Comedy, Family, Romance",51920,1938-02-16,Howard Hawks
89,tt0167404,2016-03-12,2016-03-12,,The Sixth Sense,https://www.imdb.com/title/tt0167404/,movie,8.1,107,1999,"Drama, Mystery, Thriller",861916,1999-08-02,M. Night Shyamalan
90,tt0028333,2016-03-12,2016-03-12,,Swing Time,https://www.imdb.com/title/tt0028333/,movie,7.6,103,1936,"Comedy, Musical, Romance",11359,1936-08-27,George Stevens
91,tt0084707,2016-03-12,2016-03-12,,Sophie's Choice,https://www.imdb.com/title/tt0084707/,movie,7.6,150,1982,"Drama, Romance",38163,1982-12-08,Alan J. Pakula
92,tt0099685,2016-03-12,2016-03-12,,Goodfellas,https://www.imdb.com/title/tt0099685/,movie,8.7,146,1990,"Biography, Crime, Drama",934090,1990-09-09,Martin Scorsese
93,tt0067116,2016-03-12,2016-03-12,,The French Connection,https://www.imdb.com/title/tt0067116/,movie,7.7,104,1971,"Action, Crime, Drama, Thriller",101777,1971-10-07,William Friedkin
94,tt0110912,2016-03-12,2016-03-12,,Pulp Fiction,https://www.imdb.com/title/tt0110912/,movie,8.9,154,1994,"Crime, Drama",1695820,1994-05-21,Quentin Tarantino
95,tt0067328,2016-03-12,2016-03-12,,The Last Picture Show,https://www.imdb.com/title/tt0067328/,movie,8.0,118,1971,Drama,38757,1971-10-02,Peter Bogdanovich
96,tt0097216,2016-03-12,2016-03-12,,Do the Right Thing,https://www.imdb.com/title/tt0097216/,movie,7.9,120,1989,"Comedy, Drama",77664,1989-05-19,Spike Lee
97,tt0083658,2016-03-12,2016-03-12,,Blade Runner,https://www.imdb.com/title/tt0083658/,movie,8.1,117,1982,"Action, Sci-Fi, Thriller",645240,1982-06-25,Ridley Scott
98,tt0035575,2016-03-12,2016-03-12,,Yankee Doodle Dandy,https://www.imdb.com/title/tt0035575/,movie,7.7,126,1942,"Biography, Drama, Musical",13142,1942-05-29,Michael Curtiz
99,tt0114709,2016-03-12,2016-03-12,,Toy Story,https://www.imdb.com/title/tt0114709/,movie,8.3,81,1995,"Animation, Adventure, Comedy, Family, Fantasy",823292,1995-11-19,John Lasseter
100,tt0052618,2016-03-12,2016-03-12,,Ben-Hur,https://www.imdb.com/title/tt0052618/,movie,8.1,212,1959,"Adventure, Drama, History",205678,1959-11-18,William Wyler
