Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
55,tt0055032,2018-11-02,2018-11-02,,Jules et Jim,https://www.imdb.com/title/tt0055032/,movie,7.8,105,1962,"Drama, Romance",34260,1962-01-23,François Truffaut
56,tt0109424,2018-11-02,2018-11-02,,Chung Hing sam lam,https://www.imdb.com/title/tt0109424/,movie,8.1,102,1994,"Comedy, Crime, Drama, Mystery, Romance",55173,1994-07-14,Kar-Wai Wong
57,tt0069293,2018-11-02,2018-11-02,,Solyaris,https://www.imdb.com/title/tt0069293/,movie,8.1,167,1972,"Drama, Mystery, Sci-Fi",72615,1972-02-05,Andrei Tarkovsky
58,tt0046022,2018-11-02,2018-11-02,,Madame de...,https://www.imdb.com/title/tt0046022/,movie,8.0,105,1953,"Drama, Romance",8109,1953-09-16,Max Ophüls
59,tt0091251,2018-11-02,2018-11-02,,Idi i smotri,https://www.imdb.com/title/tt0091251/,movie,8.3,142,1985,"Drama, War",46013,1985-07-09,Elem Klimov
60,tt0057345,2018-11-02,2018-11-02,,Le mépris,https://www.imdb.com/title/tt0057345/,movie,7.6,103,1963,"Drama, Romance",25644,1963-10-29,Jean-Luc Godard
61,tt0047445,2018-11-02,2018-11-02,,Sanshô dayû,https://www.imdb.com/title/tt0047445/,movie,8.4,124,1954,Drama,13005,1954-03-31,Kenji Mizoguchi
62,tt0070820,2018-11-02,2018-11-02,,Touki Bouki,https://www.imdb.com/title/tt0070820/,movie,7.1,85,1973,Drama,2054,1973-07-31,Djibril Diop Mambéty
63,tt0189219,2018-11-02,2018-11-02,,Xiao cheng zhi chun,https://www.imdb.com/title/tt0189219/,movie,7.4,98,1948,"Drama, Romance",2301,1948-12-31,Mu Fei
64,tt0108394,2018-11-02,2018-11-02,,Trois couleurs: Bleu,https://www.imdb.com/title/tt0108394/,movie,7.9,98,1993,"Drama, Music, Mystery, Romance",80655,1993-09-03,Krzysztof Kieslowski
65,tt0048452,2018-11-02,2018-11-02,,Ordet,https://www.imdb.com/title/tt0048452/,movie,8.3,126,1955,"Drama, Fantasy",12635,1955-01-10,Carl Theodor Dreyer
66,tt0071141,2018-11-02,2018-11-02,,Angst essen Seele auf,https://www.imdb.com/title/tt0071141/,movie,8.1,92,1974,"Drama, Romance",17045,1974-03-05,Rainer Werner Fassbinder
67,tt0056732,2018-11-02,2018-11-02,,El ángel exterminador,https://www.imdb.com/title/tt0056732/,movie,8.1,95,1962,"Drama, Fantasy",26767,1962-05-16,Luis Buñuel
68,tt0046478,2018-11-02,2018-11-02,,Ugetsu monogatari,https://www.imdb.com/title/tt0046478/,movie,8.3,96,1953,"Drama, Fantasy, War",18601,1953-03-26,Kenji Mizoguchi
69,tt1602620,2018-11-02,2018-11-02,,Amour,https://www.imdb.com/title/tt1602620/,movie,7.9,127,2012,"Drama, Romance",86808,2012-05-20,Michael Haneke
70,tt0056736,2018-11-02,2018-11-02,,L'eclisse,https://www.imdb.com/title/tt0056736/,movie,7.9,126,1962,"Drama, Romance",15418,1962-04-12,Michelangelo Antonioni
71,tt0118845,2018-11-02,2018-11-02,,Chun gwong cha sit,https://www.imdb.com/title/tt0118845/,movie,7.8,96,1997,"Drama, Romance",20019,1997-05-17,Kar-Wai Wong
72,tt0044741,2018-11-02,2018-11-02,,Ikiru,https://www.imdb.com/title/tt0044741/,movie,8.3,143,1952,Drama,60806,1952-10-09,Akira Kurosawa
73,tt0019760,2018-11-02,2018-11-02,,Chelovek s kino-apparatom,https://www.imdb.com/title/tt0019760/,movie,8.4,68,1929,"Documentary, Music",20435,1929-01-08,Dziga Vertov
74,tt0059592,2018-11-02,2018-11-02,,Pierrot le fou,https://www.imdb.com/title/tt0059592/,movie,7.6,110,1965,"Crime, Drama, Romance",26005,1965-08-29,Jean-Luc Godard
75,tt0061395,2018-11-02,2018-11-02,,Belle de jour,https://www.imdb.com/title/tt0061395/,movie,7.7,100,1967,Drama,36852,1967-05-24,Luis Buñuel
76,tt0245574,2018-11-02,2018-11-02,,Y tu mamá también,https://www.imdb.com/title/tt0245574/,movie,7.6,106,2001,Drama,109229,2001-06-08,Alfonso Cuarón
77,tt0065571,2018-11-02,2018-11-02,,Il conformista,https://www.imdb.com/title/tt0065571/,movie,8.0,113,1970,Drama,24220,1970-07-01,Bernardo Bertolucci
78,tt0190332,2018-11-02,2018-11-02,,Wo hu cang long,https://www.imdb.com/title/tt0190332/,movie,7.8,120,2000,"Action, Adventure, Fantasy, Romance",243415,2000-05-18,Ang Lee
79,tt0089881,2018-11-02,2018-11-02,,Ran,https://www.imdb.com/title/tt0089881/,movie,8.2,162,1985,"Action, Drama",102477,1985-05-25,Akira Kurosawa
80,tt0042804,2018-11-02,2018-11-02,,Los olvidados,https://www.imdb.com/title/tt0042804/,movie,8.3,85,1950,"Crime, Drama",16629,1950-11-09,Luis Buñuel
81,tt0071381,2018-11-02,2018-11-02,,Céline et Julie vont en bateau: Phantom Ladies Over Paris,https://www.imdb.com/title/tt0071381/,movie,7.6,193,1974,"Comedy, Drama, Fantasy, Mystery",4233,1974-08-05,Jacques Rivette
82,tt0211915,2018-11-02,2018-11-02,,Le fabuleux destin d'Amélie Poulain,https://www.imdb.com/title/tt0211915/,movie,8.3,122,2001,"Comedy, Romance",666705,2001-04-25,Jean-Pierre Jeunet
83,tt0047528,2018-11-02,2018-11-02,,La strada,https://www.imdb.com/title/tt0047528/,movie,8.0,108,1954,Drama,54209,1954-09-06,Federico Fellini
84,tt0068361,2018-11-02,2018-11-02,,Le charme discret de la bourgeoisie,https://www.imdb.com/title/tt0068361/,movie,7.9,102,1972,Comedy,34665,1972-09-15,Luis Buñuel
85,tt0045274,2018-11-02,2018-11-02,,Umberto D.,https://www.imdb.com/title/tt0045274/,movie,8.2,89,1952,Drama,20784,1952-01-10,Vittorio De Sica
86,tt0056119,2018-11-02,2018-11-02,,La jetée,https://www.imdb.com/title/tt0056119/,short,8.3,28,1962,"Short, Drama, Romance, Sci-Fi",27164,1962-02-16,Chris Marker
87,tt0050783,2018-11-02,2018-11-02,,Le notti di Cabiria,https://www.imdb.com/title/tt0050783/,movie,8.1,110,1957,Drama,39613,1957-05-11,Federico Fellini
88,tt0032156,2018-11-02,2018-11-02,,Zangiku monogatari,https://www.imdb.com/title/tt0032156/,movie,7.9,143,1939,"Drama, Romance",2854,1939-10-10,Kenji Mizoguchi
89,tt0050986,2018-11-02,2018-11-02,,Smultronstället,https://www.imdb.com/title/tt0050986/,movie,8.2,91,1957,"Drama, Romance",86915,1957-12-26,Ingmar Bergman
90,tt0052893,2018-11-02,2018-11-02,,Hiroshima mon amour,https://www.imdb.com/title/tt0052893/,movie,7.9,90,1959,"Drama, Romance",25638,1959-05-08,Alain Resnais
91,tt0048021,2018-11-02,2018-11-02,,Du rififi chez les hommes,https://www.imdb.com/title/tt0048021/,movie,8.2,118,1955,"Crime, Thriller",23604,1955-04-13,Jules Dassin
92,tt0070644,2018-11-02,2018-11-02,,Scener ur ett äktenskap,https://www.imdb.com/title/tt0070644/,tvMiniSeries,8.4,283,1973,Drama,14028,1973-04-11,
93,tt0101640,2018-11-02,2018-11-02,,Da hong deng long gao gao gua,https://www.imdb.com/title/tt0101640/,movie,8.1,125,1991,"Drama, History, Romance",27115,1991-09-10,Yimou Zhang
94,tt0093342,2018-11-02,2018-11-02,,Khane-ye doust kodjast?,https://www.imdb.com/title/tt0093342/,movie,8.1,83,1987,"Drama, Family",8446,1987-02-01,Abbas Kiarostami
95,tt0048757,2018-11-02,2018-11-02,,Ukigumo,https://www.imdb.com/title/tt0048757/,movie,7.7,123,1955,"Drama, Romance",2119,1955-01-15,Mikio Naruse
96,tt0090015,2018-11-02,2018-11-02,,Shoah,https://www.imdb.com/title/tt0090015/,movie,8.6,566,1985,"Documentary, History, War",7782,1985-04-30,Claude Lanzmann
97,tt0120265,2018-11-02,2018-11-02,,Ta'm e guilass,https://www.imdb.com/title/tt0120265/,movie,7.7,95,1997,Drama,19847,1997-05-16,Abbas Kiarostami
98,tt0111786,2018-11-02,2018-11-02,,Yang guang can lan de ri zi,https://www.imdb.com/title/tt0111786/,movie,8.2,134,1994,"Drama, Romance",3428,1994-12-31,Wen Jiang
99,tt0052080,2018-11-02,2018-11-02,,Popiól i diament,https://www.imdb.com/title/tt0052080/,movie,7.8,103,1958,"Drama, Romance, War",9568,1958-10-03,Andrzej Wajda
100,tt0096288,2018-11-02,2018-11-02,,Topio stin omihli,https://www.imdb.com/title/tt0096288/,movie,8.0,127,1988,Drama,6229,1988-08-31,Theodoros Angelopoulos
