Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
180,tt0112471,2013-07-30,2013-07-30,,Before Sunrise,https://www.imdb.com/title/tt0112471/,movie,8.1,101,1995,"Drama, Romance",245928,1995-01-19,Richard Linklater
181,tt0381681,2013-07-30,2013-07-30,,Before Sunset,https://www.imdb.com/title/tt0381681/,movie,8.0,80,2004,"Drama, Romance",215022,2004-02-10,Richard Linklater
182,tt2209418,2013-07-30,2013-07-30,,Before Midnight,https://www.imdb.com/title/tt2209418/,movie,7.9,109,2013,"Drama, Romance",127295,2013-01-20,Richard Linklater
183,tt0115751,2013-07-30,2013-07-30,,Breaking the Waves,https://www.imdb.com/title/tt0115751/,movie,7.9,159,1996,Drama,58607,1996-05-13,Lars von Trier
184,tt0117398,2013-07-30,2013-07-30,,La promesse,https://www.imdb.com/title/tt0117398/,movie,7.8,90,1996,Drama,6641,1996-09-07,"Luc Dardenne, Jean-Pierre Dardenne"
185,tt0117589,2013-07-30,2013-07-30,,Secrets & Lies,https://www.imdb.com/title/tt0117589/,movie,8.0,136,1996,Drama,34496,1996-05-10,Mike Leigh
186,tt0117883,2013-07-30,2013-07-30,,Tesis,https://www.imdb.com/title/tt0117883/,movie,7.4,125,1996,"Horror, Mystery, Thriller",33454,1996-02-29,Alejandro Amenábar
187,tt0119349,2013-07-30,2013-07-30,,The Ice Storm,https://www.imdb.com/title/tt0119349/,movie,7.4,112,1997,Drama,51588,1997-05-12,Ang Lee
188,tt0120255,2013-07-30,2013-07-30,,The Sweet Hereafter,https://www.imdb.com/title/tt0120255/,movie,7.5,112,1997,Drama,30469,1997-05-15,Atom Egoyan
189,tt0119167,2013-07-30,2013-07-30,,Funny Games,https://www.imdb.com/title/tt0119167/,movie,7.6,108,1997,"Crime, Drama, Thriller",58686,1997-05-14,Michael Haneke
190,tt0120265,2013-07-30,2013-07-30,,Ta'm e guilass,https://www.imdb.com/title/tt0120265/,movie,7.7,95,1997,Drama,19847,1997-05-16,Abbas Kiarostami
191,tt0118849,2013-07-30,2013-07-30,,Bacheha-Ye aseman,https://www.imdb.com/title/tt0118849/,movie,8.3,89,1997,"Drama, Family, Sport",56731,1997-02-01,Majid Majidi
192,tt0140888,2013-07-30,2013-07-30,,Central do Brasil,https://www.imdb.com/title/tt0140888/,movie,7.9,113,1998,Drama,33443,1998-01-16,Walter Salles
193,tt0120863,2013-07-30,2013-07-30,,The Thin Red Line,https://www.imdb.com/title/tt0120863/,movie,7.6,170,1998,"Drama, War",163415,1998-12-22,Terrence Malick
194,tt0156794,2013-07-30,2013-07-30,,Mia aioniotita kai mia mera,https://www.imdb.com/title/tt0156794/,movie,7.9,137,1998,Drama,9110,1998-05-23,Theodoros Angelopoulos
195,tt0130827,2013-07-30,2013-07-30,,Lola rennt,https://www.imdb.com/title/tt0130827/,movie,7.7,81,1998,"Crime, Drama, Thriller",181423,1998-08-20,Tom Tykwer
196,tt0120601,2013-07-30,2013-07-30,,Being John Malkovich,https://www.imdb.com/title/tt0120601/,movie,7.7,113,1999,"Comedy, Drama, Fantasy",293510,1999-09-02,Spike Jonze
197,tt0140352,2013-07-30,2013-07-30,,The Insider,https://www.imdb.com/title/tt0140352/,movie,7.8,157,1999,"Biography, Drama, Thriller",152271,1999-10-28,Michael Mann
198,tt0185937,2013-07-30,2013-07-30,,The Blair Witch Project,https://www.imdb.com/title/tt0185937/,movie,6.5,81,1999,"Horror, Mystery",221020,1999-01-25,"Eduardo Sánchez, Daniel Myrick"
199,tt0217869,2013-07-30,2013-07-30,,Unbreakable,https://www.imdb.com/title/tt0217869/,movie,7.3,106,2000,"Drama, Mystery, Sci-Fi, Thriller",365441,2000-11-14,M. Night Shyamalan
200,tt0118694,2013-07-30,2013-07-30,,Faa yeung nin wa,https://www.imdb.com/title/tt0118694/,movie,8.1,98,2000,"Drama, Romance",110152,2000-05-20,Kar-Wai Wong
201,tt0249241,2013-07-30,2013-07-30,,Werckmeister harmóniák,https://www.imdb.com/title/tt0249241/,movie,8.2,145,2000,"Drama, Mystery",11566,2000-05-31,"Béla Tarr, Ágnes Hranitzky"
202,tt0256103,2013-07-30,2013-07-30,,Intimacy,https://www.imdb.com/title/tt0256103/,movie,6.1,119,2001,"Drama, Romance",10684,2001-01-20,Patrice Chéreau
203,tt0166924,2013-07-30,2013-07-30,,Mulholland Dr.,https://www.imdb.com/title/tt0166924/,movie,7.9,147,2001,"Drama, Mystery, Thriller",297760,2001-05-16,David Lynch
204,tt0248845,2013-07-30,2013-07-30,,Hedwig and the Angry Inch,https://www.imdb.com/title/tt0248845/,movie,7.7,95,2001,"Comedy, Drama, Music, Musical",30275,2001-01-19,John Cameron Mitchell
205,tt0254686,2013-07-30,2013-07-30,,La pianiste,https://www.imdb.com/title/tt0254686/,movie,7.5,131,2001,Drama,51080,2001-05-14,Michael Haneke
206,tt0280707,2013-07-30,2013-07-30,,Gosford Park,https://www.imdb.com/title/tt0280707/,movie,7.2,131,2001,"Comedy, Drama, Mystery",75346,2001-11-07,Robert Altman
207,tt0208990,2013-07-30,2013-07-30,,La stanza del figlio,https://www.imdb.com/title/tt0208990/,movie,7.3,99,2001,Drama,16684,2001-03-09,Nanni Moretti
208,tt0243017,2013-07-30,2013-07-30,,Waking Life,https://www.imdb.com/title/tt0243017/,movie,7.8,99,2001,"Animation, Drama, Fantasy",58035,2001-01-23,Richard Linklater
209,tt0265666,2013-07-30,2013-07-30,,The Royal Tenenbaums,https://www.imdb.com/title/tt0265666/,movie,7.6,110,2001,"Comedy, Drama",250696,2001-10-05,Wes Anderson
210,tt0272338,2013-07-30,2013-07-30,,Punch-Drunk Love,https://www.imdb.com/title/tt0272338/,movie,7.3,95,2002,"Comedy, Drama, Romance, Thriller",136603,2002-05-19,Paul Thomas Anderson
211,tt0290673,2013-07-30,2013-07-30,,Irréversible,https://www.imdb.com/title/tt0290673/,movie,7.4,97,2002,"Crime, Drama, Mystery, Thriller",110370,2002-05-22,Gaspar Noé
212,tt0311519,2013-07-30,2013-07-30,,Mies vailla menneisyyttä,https://www.imdb.com/title/tt0311519/,movie,7.7,97,2002,"Comedy, Drama, Romance",20799,2002-03-01,Aki Kaurismäki
213,tt0274558,2013-07-30,2013-07-30,,The Hours,https://www.imdb.com/title/tt0274558/,movie,7.5,110,2002,"Drama, Romance",118686,2002-12-15,Stephen Daldry
214,tt0291172,2013-07-30,2013-07-30,,Le fils,https://www.imdb.com/title/tt0291172/,movie,7.6,99,2002,"Drama, Mystery",8499,2002-05-23,"Luc Dardenne, Jean-Pierre Dardenne"
215,tt0318034,2013-07-30,2013-07-30,,Russkiy kovcheg,https://www.imdb.com/title/tt0318034/,movie,7.4,99,2002,"Drama, Fantasy, History, Mystery",17682,2002-05-22,Aleksandr Sokurov
216,tt0342172,2013-07-30,2013-07-30,,Capturing the Friedmans,https://www.imdb.com/title/tt0342172/,movie,7.7,107,2003,"Documentary, Biography",22782,2003-01-17,Andrew Jarecki
217,tt0363589,2013-07-30,2013-07-30,,Elephant,https://www.imdb.com/title/tt0363589/,movie,7.2,81,2003,"Crime, Drama, Thriller",81857,2003-05-18,Gus Van Sant
218,tt0363249,2013-07-30,2013-07-30,,Otets i syn,https://www.imdb.com/title/tt0363249/,movie,6.6,97,2003,Drama,2285,2003-05-23,Aleksandr Sokurov
219,tt0286244,2013-07-30,2013-07-30,,Les triplettes de Belleville,https://www.imdb.com/title/tt0286244/,movie,7.8,78,2003,"Animation, Comedy, Drama",48575,2003-05-18,Sylvain Chomet
220,tt0376968,2013-07-30,2013-07-30,,Vozvrashchenie,https://www.imdb.com/title/tt0376968/,movie,8.0,110,2003,Drama,39233,2003-06-25,Andrey Zvyagintsev
221,tt0366943,2013-07-30,2013-07-30,,Reconstruction,https://www.imdb.com/title/tt0366943/,movie,7.4,92,2003,"Drama, Romance",6874,2003-05-18,Christoffer Boe
222,tt0335266,2013-07-30,2013-07-30,,Lost in Translation,https://www.imdb.com/title/tt0335266/,movie,7.7,102,2003,Drama,383156,2003-08-29,Sofia Coppola
223,tt0423866,2013-07-30,2013-07-30,,Bin-jip,https://www.imdb.com/title/tt0423866/,movie,8.0,88,2004,"Crime, Drama, Romance",45994,2004-09-07,Ki-duk Kim
224,tt0375063,2013-07-30,2013-07-30,,Sideways,https://www.imdb.com/title/tt0375063/,movie,7.5,127,2004,"Comedy, Drama, Romance",172085,2004-09-13,Alexander Payne
225,tt0424227,2013-07-30,2013-07-30,,Lakposhtha parvaz mikonand,https://www.imdb.com/title/tt0424227/,movie,8.1,98,2004,"Drama, War",16754,2004-09-10,Bahman Ghobadi
226,tt0387055,2013-07-30,2013-07-30,,Batalla en el cielo,https://www.imdb.com/title/tt0387055/,movie,5.6,98,2005,"Crime, Drama",5776,2005-05-15,Carlos Reygadas
227,tt0388795,2013-07-30,2013-07-30,,Brokeback Mountain,https://www.imdb.com/title/tt0388795/,movie,7.7,134,2005,"Drama, Romance",306138,2005-09-02,Ang Lee
228,tt0408318,2013-07-30,2013-07-30,,Voksne mennesker,https://www.imdb.com/title/tt0408318/,movie,7.2,109,2005,"Comedy, Drama, Romance",3122,2005-05-13,Dagur Kári
229,tt0387898,2013-07-30,2013-07-30,,Caché,https://www.imdb.com/title/tt0387898/,movie,7.3,117,2005,"Drama, Mystery, Thriller",68025,2005-05-14,Michael Haneke
230,tt0354899,2013-07-30,2013-07-30,,La science des rêves,https://www.imdb.com/title/tt0354899/,movie,7.3,105,2006,"Comedy, Drama, Fantasy, Romance",66221,2006-02-11,Michel Gondry
231,tt0855729,2013-07-30,2013-07-30,,Bes Vakit,https://www.imdb.com/title/tt0855729/,movie,7.3,111,2006,Drama,3613,2006-09-10,Reha Erdem
232,tt0206634,2013-07-30,2013-07-30,,Children of Men,https://www.imdb.com/title/tt0206634/,movie,7.9,109,2006,"Drama, Thriller",437789,2006-09-03,Alfonso Cuarón
233,tt0443706,2013-07-30,2013-07-30,,Zodiac,https://www.imdb.com/title/tt0443706/,movie,7.7,157,2007,"Crime, Drama, Mystery, Thriller",408397,2007-02-28,David Fincher
234,tt1032846,2013-07-30,2013-07-30,,"4 luni, 3 saptamâni si 2 zile",https://www.imdb.com/title/tt1032846/,movie,7.9,113,2007,Drama,53080,2007-05-17,Cristian Mungiu
235,tt0443680,2013-07-30,2013-07-30,,The Assassination of Jesse James by the Coward Robert Ford,https://www.imdb.com/title/tt0443680/,movie,7.5,160,2007,"Biography, Crime, Drama, History, Western",159866,2007-09-02,Andrew Dominik
236,tt0368794,2013-07-30,2013-07-30,,I'm Not There,https://www.imdb.com/title/tt0368794/,movie,6.9,135,2007,"Biography, Drama, Music",54636,2007-09-03,Todd Haynes
237,tt1155592,2013-07-30,2013-07-30,,Man on Wire,https://www.imdb.com/title/tt1155592/,movie,7.7,94,2008,"Documentary, Biography, History",50211,2008-01-22,James Marsh
238,tt0961066,2013-07-30,2013-07-30,,Maria Larssons eviga ögonblick,https://www.imdb.com/title/tt0961066/,movie,7.5,131,2008,"Drama, History",5062,2008-09-05,Jan Troell
239,tt0986233,2013-07-30,2013-07-30,,Hunger,https://www.imdb.com/title/tt0986233/,movie,7.6,96,2008,"Biography, Drama",62384,2008-05-15,Steve McQueen
240,tt1379182,2013-07-30,2013-07-30,,Kynodontas,https://www.imdb.com/title/tt1379182/,movie,7.3,97,2009,"Drama, Thriller",72108,2009-05-18,Yorgos Lanthimos
241,tt0978762,2013-07-30,2013-07-30,,Mary and Max,https://www.imdb.com/title/tt0978762/,movie,8.1,92,2009,"Animation, Comedy, Drama",154560,2009-01-15,Adam Elliot
242,tt0810784,2013-07-30,2013-07-30,,Bright Star,https://www.imdb.com/title/tt0810784/,movie,6.9,119,2009,"Biography, Drama, Romance",24329,2009-05-15,Jane Campion
243,tt1149362,2013-07-30,2013-07-30,,Das weiße Band - Eine deutsche Kindergeschichte,https://www.imdb.com/title/tt1149362/,movie,7.8,144,2009,"Drama, History, Mystery, Thriller",64185,2009-05-21,Michael Haneke
244,tt1226236,2013-07-30,2013-07-30,,Io sono l'amore,https://www.imdb.com/title/tt1226236/,movie,7.0,120,2009,"Drama, Romance",18920,2009-09-05,Luca Guadagnino
245,tt1019452,2013-07-30,2013-07-30,,A Serious Man,https://www.imdb.com/title/tt1019452/,movie,7.0,106,2009,"Comedy, Drama",124664,2009-09-12,"Ethan Coen, Joel Coen"
246,tt1235166,2013-07-30,2013-07-30,,Un prophète,https://www.imdb.com/title/tt1235166/,movie,7.9,155,2009,"Crime, Drama",89312,2009-05-16,Jacques Audiard
247,tt1360860,2013-07-30,2013-07-30,,Darbareye Elly,https://www.imdb.com/title/tt1360860/,movie,8.0,119,2009,"Drama, Mystery, Thriller",39798,2009-02-07,Asghar Farhadi
248,tt1255953,2013-07-30,2013-07-30,,Incendies,https://www.imdb.com/title/tt1255953/,movie,8.3,131,2010,"Drama, Mystery, War",129812,2010-09-03,Denis Villeneuve
249,tt1287878,2013-07-30,2013-07-30,,Shi,https://www.imdb.com/title/tt1287878/,movie,7.8,139,2010,Drama,9074,2010-05-13,Chang-dong Lee
250,tt1431181,2013-07-30,2013-07-30,,Another Year,https://www.imdb.com/title/tt1431181/,movie,7.3,129,2010,"Comedy, Drama",26653,2010-05-15,Mike Leigh
251,tt1120985,2013-07-30,2013-07-30,,Blue Valentine,https://www.imdb.com/title/tt1120985/,movie,7.4,112,2010,"Drama, Romance",173829,2010-01-24,Derek Cianfrance
252,tt0478304,2013-07-30,2013-07-30,,The Tree of Life,https://www.imdb.com/title/tt0478304/,movie,6.8,139,2011,"Drama, Fantasy",159117,2011-05-16,Terrence Malick
253,tt1242460,2013-07-30,2013-07-30,,We Need to Talk About Kevin,https://www.imdb.com/title/tt1242460/,movie,7.5,112,2011,"Drama, Mystery, Thriller",127095,2011-05-12,Lynne Ramsay
254,tt1181614,2013-07-30,2013-07-30,,Wuthering Heights,https://www.imdb.com/title/tt1181614/,movie,6.0,129,2011,"Drama, Romance",8696,2011-09-06,Andrea Arnold
255,tt1316540,2013-07-30,2013-07-30,,A torinói ló,https://www.imdb.com/title/tt1316540/,movie,7.8,155,2011,Drama,14042,2011-02-15,"Béla Tarr, Ágnes Hranitzky"
256,tt1340800,2013-07-30,2013-07-30,,Tinker Tailor Soldier Spy,https://www.imdb.com/title/tt1340800/,movie,7.1,122,2011,"Drama, Mystery, Thriller",177720,2011-09-05,Tomas Alfredson
257,tt1827487,2013-07-30,2013-07-30,,Bir Zamanlar Anadolu'da,https://www.imdb.com/title/tt1827487/,movie,7.8,157,2011,"Crime, Drama",36101,2011-05-21,Nuri Bilge Ceylan
